date,time,open,high,low,close,vol
20081009,0,24650,27050,24500,25050,3810474
20081008,0,25900,25950,24050,24650,2630764
20081007,0,25350,27250,25000,27000,2181676
20081006,0,26500,26700,25450,26200,2933471
20081002,0,28000,28200,26750,27100,2880617
20081001,0,28000,28350,27500,27850,6245064
20080930,0,25250,27800,25150,27550,4315994
20080929,0,30100,30100,27600,27600,3388898
20080926,0,31100,31100,29550,29600,2127447
20080925,0,31800,31800,30750,31000,2503349
20080924,0,31850,32300,30950,32000,2013521
20080923,0,29650,32100,29650,32100,2594670
20080922,0,29800,30600,29250,30000,2966591
20080919,0,31600,32350,28900,29400,7095829
20080918,0,34050,34500,30550,30850,4501781
20080917,0,36400,36500,35400,35850,1608319
20080916,0,31300,36050,31300,36050,2536437
20080912,0,36700,37250,36350,36750,1321268
20080911,0,37350,37500,35900,36100,2347763
20080910,0,38250,38250,37050,37750,1517868
20080909,0,37750,38050,37100,37850,2117130
20080908,0,37950,39200,37100,37500,2988956
20080905,0,35250,36650,35250,35850,1015137
20080904,0,36050,36450,35350,35800,1027817
20080903,0,36050,37000,35500,36050,1799435
20080902,0,37600,38000,35850,37000,1732722
20080901,0,39350,39350,38000,38000,861228
20080829,0,38300,39700,38300,38800,912718
20080828,0,39200,39200,37650,38250,418484
20080827,0,38500,38900,37900,38650,983496
20080826,0,37300,39000,37300,38500,613525
20080825,0,38150,38850,37950,37950,742139
20080822,0,39150,39150,37700,38150,487541
20080821,0,39200,39200,38100,38400,617760
20080820,0,38750,39400,38700,38750,449486
20080819,0,40200,40200,38400,38750,856396
20080818,0,40450,41000,39650,39950,683844
20080814,0,38750,40100,38750,39550,810909
20080813,0,39450,40200,39300,39400,999135
20080812,0,39700,40100,38950,39500,707082
20080811,0,40900,40950,40100,40150,527643
20080808,0,40200,41200,38900,39950,756772
20080807,0,40800,40800,38800,40200,419006
20080806,0,39850,40800,39850,40450,1291338
20080805,0,39000,40050,38600,39250,1107981
20080804,0,38250,38650,37350,38600,621783
20080801,0,38500,38500,37350,37900,452295
20080731,0,38900,39250,38050,38450,715448
20080730,0,37800,38500,37600,37800,667596
20080729,0,38250,38250,36600,37050,996984
20080728,0,39400,39400,37900,38750,1066858
20080725,0,39400,39750,36300,39100,805265
20080724,0,39450,39750,38800,39400,1782748
20080723,0,37400,39300,37000,38300,1441049
20080722,0,35900,36950,35700,36600,678395
20080721,0,34700,37050,34700,36850,1234293
20080718,0,35000,35250,34000,34650,910526
20080717,0,36000,36200,33700,34500,1671432
20080716,0,35850,36250,34900,35100,1520928
20080715,0,36750,36950,35400,36000,1320057
20080714,0,38000,38000,36700,37450,593467
20080711,0,36600,38000,35600,37700,1024308
20080710,0,36850,37050,36150,36400,1522749
20080709,0,38300,38600,36200,36900,1530633
20080708,0,38350,38350,37650,38000,863854
20080707,0,38600,39250,38150,38700,1200901
20080704,0,38850,39250,38300,38650,1260452
20080703,0,39500,39700,38900,39100,1270707
20080702,0,40300,40950,39000,39600,1274069
20080701,0,40050,40750,40000,40300,767150
20080630,0,40000,40500,39700,40250,1077126
20080627,0,40000,40850,40000,40150,738419
20080626,0,40650,42300,40650,41250,636577
20080625,0,40100,41350,39950,41000,1272911
20080624,0,40300,40300,39800,39800,798737
20080623,0,39950,40500,39950,40200,902291
20080620,0,41950,42100,40500,41150,1325105
20080619,0,43500,43500,41550,41600,1527319
20080618,0,44400,44400,43100,43900,869237
20080617,0,44500,45000,43650,44150,1143315
20080616,0,44750,45000,43700,44500,846727
20080613,0,43100,44900,42600,44000,1014420
20080612,0,42400,45100,41150,43500,2502579
20080611,0,42500,43450,42000,42400,1298751
20080610,0,42950,43750,41250,42000,1076471
20080609,0,43800,44250,42600,42600,1858070
20080605,0,42050,45250,40950,45250,3689880
20080604,0,41850,42450,41800,42100,410956
20080603,0,42200,42750,41450,41850,491233
20080602,0,42300,42600,41600,42150,613548
20080530,0,43000,43100,42000,43000,778089
20080529,0,41600,42800,41500,41950,614776
20080528,0,42000,42300,40950,41500,593695
20080527,0,41750,42500,41700,42000,326547
20080526,0,41350,42900,41350,41850,422070
20080523,0,41900,42250,41100,42000,579078
20080522,0,41850,42450,41050,42100,843301
20080521,0,43900,43900,42200,42250,976122
20080520,0,43600,45000,43600,44050,477658
20080519,0,45950,45950,44550,45000,541283
20080516,0,45000,45800,44700,45400,489195
20080515,0,43700,45850,43700,45200,799084
20080514,0,43500,44750,43500,44500,782943
20080513,0,43700,44000,43000,43500,964603
20080509,0,42450,42700,41850,42700,1423792
20080508,0,44050,44900,42900,43000,1612414
20080507,0,45350,45750,44500,45150,908758
20080506,0,47500,47500,45550,46150,662920
20080502,0,46250,47300,45900,47300,1184989
20080430,0,44800,45900,44000,45350,1033664
20080429,0,45000,45000,43850,45000,986560
20080428,0,44750,45900,44650,45400,1310179
20080425,0,44400,45550,44400,45500,997800
20080424,0,43300,44350,43150,44000,867730
20080423,0,43250,44350,43200,44350,798600
20080422,0,45000,45250,43600,43950,865468
20080421,0,46400,46400,45350,45350,671477
20080418,0,46900,47600,45900,46250,592171
20080417,0,47400,47400,46100,46650,504937
20080416,0,47950,48350,46600,47000,937053
20080415,0,46900,47700,45500,47500,610335
20080414,0,46500,47900,45000,46500,935340
20080411,0,46750,47000,45550,46650,905851
20080410,0,45100,46900,44600,46800,1452494
20080408,0,44700,45850,43700,45050,852454
20080407,0,44150,45200,44100,44500,979455
20080404,0,47100,47100,45000,45100,1130822
20080403,0,46900,47400,44800,46900,2550023
20080402,0,42000,45100,41900,45100,2235668
20080401,0,40350,41900,39950,40500,1235440
20080331,0,41100,41100,39450,40500,795665
20080328,0,40600,42250,40250,41100,1013491
20080327,0,40600,40850,39650,40800,608006
