Name,Code,Stock,capitalization
IHQ,A003560,146235748,301245640880
세종텔레콤,A036630,600326126,300163063000
KODEX 코스닥150선물인버스,A251340,44600000,299935000000
에이스침대,A003800,11090000,299430000000
네오위즈,A095660,21915008,299139859200
경방,A000050,27415270,298826443000
프로스테믹스,A203690,45374817,298566295860
엘비세미콘,A061970,43784592,296859533760
경동제약,A011040,26550000,296032500000
앤디포스,A238090,16538148,295205941800
루트로닉,A085370,25267586,294367376900
JW신약,A067290,41667166,293753520300
다나와,A119860,13074822,293529753900
포스코엠텍,A009520,41642703,293164629120
진흥기업,A002780,145471745,290943490000
제이준코스메틱,A025620,26524184,290439814800
현대차증권,A001500,29337111,288383801130
휴메딕스,A200670,9347753,288378180050
상아프론테크,A089980,14365821,287316420000
웹케시,A053580,6763655,287117154750
SBI핀테크솔루션즈,A950110,24656540,286015864000
인선이엔티,A060150,36599388,284377244760
KPX케미칼,A025000,4840000,283624000000
한국철강,A104700,46050000,282286500000
사조산업,A007160,5000000,282000000000
우리산업,A215360,9132163,281727228550
레이언스,A228850,16591014,281217687300
경농,A002100,21691750,280908162500
SK바이오랜드,A052260,15000000,279000000000
동화약품,A000020,27931470,278476755900
에이프로젠제약,A003060,107882194,278336060520
아세아,A002030,2191024,278260048000
유진테크,A084370,22916042,277284108200
씨티케이코스메틱스,A260930,10122151,275322507200
동화기업,A025900,14356756,274931877400
지니뮤직,A043610,58115438,274886021740
넵튠,A217270,21377405,274699654250
아이큐어,A175250,6123518,274639782300
신한알파리츠,A293940,47630123,273396906020
NHN한국사이버결제,A060250,21917493,272872787850
코오롱글로벌,A003070,25210438,272272730400
민앤지,A214180,11886628,272203781200
대주전자재료,A078600,14551225,271380346250
삼익THK,A004380,21000000,269850000000
휴비스,A079980,34500000,268410000000
한양이엔지,A045100,18000000,268200000000
코스메카코리아,A241710,10680000,267000000000
하이록코리아,A013030,13613232,266819347200
경보제약,A214390,23906860,266561489000
AJ렌터카,A068400,22146300,265755600000
세방,A004360,19308690,265494487500
미원상사,A002840,774940,265416950000
크리스에프앤씨,A110790,11715480,265355622000
하림,A136480,86945938,265185110900
신세계 I&C,A035510,1720000,264880000000
우리기술투자,A041190,84000000,264600000000
유비케어,A032620,52197139,264117523340
베스파,A299910,7986521,263555193000
남선알미늄,A008350,110179090,262226234200
엠씨넥스,A097520,14406060,262190292000
이엠코리아,A095190,36332704,261958795840
TIGER 차이나CSI300레버리지(합성),A204480,14500000,261362500000
동성코퍼레이션,A102260,45444970,261308577500
유진투자증권,A001200,96866418,261054996510
삼영전자,A005680,20000000,261000000000
삼영무역,A002810,16466623,260172643400
야스,A255440,13058000,259854200000
코스모화학,A005420,15840498,258992142300
인터로조,A119610,11016749,258893601500
한스바이오메드,A042520,9857857,258275853400
삼양패키징,A272550,14209804,257907942600
S-Oil우,A010955,4021927,257805520700
동부제철,A016380,27233424,255449517120
KPX홀딩스,A092230,4224646,255168618400
TIGER TOP10,A292150,31100000,254398000000
웅진씽크빅,A095720,76621165,254382267800
한국기업평가,A034950,4540514,253360681200
SKC 솔믹스,A057500,61494040,253355444800
제낙스,A065620,22486744,252975870000
웨이브일렉트로,A095270,10798868,252153567800
S&T중공업,A003570,33252697,251722916290
KINDEX 중국본토CSI300,A168580,11600000,251720000000
골프존,A215000,6275415,251330370750
EDGC,A245620,36172940,250678474200
TIGER 중국소비테마,A150460,30420000,249444000000
일성신약,A003120,2660000,248710000000
KISCO홀딩스,A001940,18476380,248507311000
성신양회,A004980,24008482,248487788700
이테크건설,A016250,2800000,248360000000
조광피혁,A004700,6649138,248012847400
큐리언트,A115180,8536666,247990147300
경인양행,A012610,40396365,246821790150
TIGER 글로벌4차산업혁신기술(합성 H),A275980,21600000,245700000000
로보스타,A090360,9750000,245700000000
하나 코스피 변동성추세 추종 양매도 ETN,Q700001,25000000,245375000000
자화전자,A033240,17900000,245230000000
토니모리,A214420,17640000,245196000000
예스코홀딩스,A015360,6000000,245100000000
디에스케이,A109740,20354763,244257156000
동성화인텍,A033500,26983609,243392153180
코오롱플라스틱,A138490,38000000,242440000000
바이오리더스,A142760,15960310,241798696500
코미코,A183300,8775000,241751250000
에어부산,A298690,52070000,241604800000
넷게임즈,A225570,24003428,241234451400
키이스트,A054780,85175625,241047018750
KODEX KRX300,A292190,18100000,240820500000
TIGER 200 IT,A139260,11600000,240410000000
TIGER 차이나CSI300,A192090,28600000,239811000000
해성디에스,A195870,17000000,238850000000
큐렉소,A060280,33357253,238837931480
경남제약,A053950,13865977,238494804400
대한약품,A023910,6000000,237900000000
신흥에스이씨,A243840,6551683,235533003850
LS네트웍스,A000680,78803016,234832987680
AJ네트웍스,A095570,46822295,234111475000
세원셀론텍,A091090,60990792,233594733360
에스디생명공학,A217480,22415066,233116686400
일신방직,A003200,2400000,232800000000
한국주철관,A000970,22800500,232565100000
신라교역,A004970,16000000,232000000000
코스맥스비티아이,A044820,9603921,231934692150
티케이케미칼,A104480,90895434,231783356700
테스나,A131970,6850000,231530000000
아모텍,A052710,9743406,231405892500
해마로푸드서비스,A220630,93897786,230049575700
풍국주정,A023900,12600000,229950000000
파크시스템스,A140860,6650055,229759400250
리더스코스메틱,A016100,18170414,228947216400
에스맥,A097780,220938274,228671113590
이엔에프테크놀로지,A102710,14227836,227645376000
KG모빌리언스,A046440,29906957,226993803630
GS글로벌,A001250,82533764,226142513360
코텍,A052330,15574552,225831004000
대신증권우,A003545,26000000,224900000000
